,Unnamed: 0,key,prep,dobj,d.lemma,d.pos,d.animacy,d.number,d.r,d.t,d.pt,d.top,d.d,v.lemma,v.pos,v.aspect,v.mood,v.r,v.ca,v.aux,v_d,s.lemma,s.pos,s.animacy,s.number,s.r,s.t,s.pt,s.top,s.d,role
11,11,36585_1,False,True,Гумилев,S,anim,sg,r:propn,t:famn,,,,аплодировать,V,ipf,indic,t:sound,ca:noncaus,,,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,реципиент
12,12,36587_11,False,False,автор,S,anim,pl,r:concr,t:hum,,,d:nag,аплодировать,V,ipf,indic,t:sound,ca:noncaus,,,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,реципиент
13,13,36592_3,False,False,ректор,S,anim,sg,r:concr,t:hum,,,,аплодировать,V,ipf,indic,t:sound,ca:noncaus,,,делегат,S,anim,pl,r:concr,t:hum,,,,реципиент
14,14,42225_1,False,False,она,SPRO,none,norm,r:pers,,,,,выступление,S,none,none,t:move,,,der:s0,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,реципиент
15,15,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,реципиент
16,16,42228_2,False,False,он,SPRO,none,norm,r:pers,,,,,аплодировать,V,act,praes,t:sound,ca:noncaus,,,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,реципиент
17,17,42232_0,False,True,они,SPRO,none,norm,r:pers,,,,,аплодировать,V,act,sg,t:sound,ca:noncaus,,,родня,S,nom,norm,r:concr,,pt:aggr,,der:a,реципиент
18,18,42233_2,False,True,они,SPRO,none,norm,r:pers,,,,,аплодировать,V,act,praet,t:sound,ca:noncaus,,,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,реципиент
19,19,42235_2,False,False,гилельс,S,m,persn,,,,,,аплодировать,V,act,sg,t:sound,ca:noncaus,,,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,реципиент
20,20,42240_2,False,False,все,SPRO,none,norm,,,,,,аплодировать,V,act,praet,t:sound,ca:noncaus,,,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,реципиент
21,21,42243_3,False,False,мастер,S,m,norm,r:concr,t:prof,,,,аплодировать,V,act,praet,t:sound,ca:noncaus,,,зритель,S,nom,norm,r:concr,t:hum,,,d:nag,реципиент
22,22,42248_1,False,False,путин,S,m,norm,r:propn,t:famn,,,,аплодировать,V,act,sg,t:sound,ca:noncaus,,,бундестаг,S,nom,norm,r:concr,t:org,,,,реципиент
23,23,42249_4,False,True,артист,S,m,norm,r:concr,t:prof,,,,аплодировать,V,act,praet,t:sound,ca:noncaus,,,мы,SPRO,none,norm,r:pers,,,,,реципиент
24,24,42250_2,False,False,он,SPRO,none,norm,r:pers,,,,,стоять,V,act,praes,t:loc:body,ca:noncaus,,d:root,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,реципиент
25,25,42253_11,False,True,я,SPRO,none,norm,r:pers,,,,,аплодировать,V,3p,sg,t:sound,ca:noncaus,,,парламент,S,nom,norm,r:concr,t:org,,,,реципиент
26,26,42256_2,False,False,они,SPRO,none,norm,r:pers,,,,,аплодировать,V,act,sg,t:sound,ca:noncaus,,,зал,S,nom,norm,r:concr,t:room,pt:part,top:contain,,реципиент
27,27,42258_3,False,True,я,SPRO,none,norm,r:pers,,,,,аплодировать,V,act,praet,t:sound,ca:noncaus,,,все,SPRO,none,norm,,,,,,реципиент
28,28,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,реципиент
29,29,42264_14,False,False,он,SPRO,none,norm,r:pers,,,,,аплодировать,V,act,sg,t:sound,ca:noncaus,,,зал,S,nom,norm,r:concr,t:room,pt:part,top:contain,,реципиент
30,30,42267_2,False,True,участник,S,m,norm,r:concr,t:hum,,,d:nag,аплодировать,V,1p,sg,t:sound,ca:noncaus,,,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,реципиент
31,31,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,реципиент
32,32,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,реципиент
33,33,42278_20,False,False,она,SPRO,none,norm,r:pers,,,,,оставаться,V,act,sg,,,,d:pref,идти,V,none,ipf,,t:move,,,d:root,реципиент
34,34,42280_2,False,False,варпаховский,A,none,plen,,,,,,,PUNCT,none,none,,,,,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,реципиент
35,35,42283_24,False,True,он,SPRO,none,norm,r:pers,,,,,аплодировать,V,act,praet,t:sound,ca:noncaus,,,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,реципиент
36,36,42286_4,False,False,он,SPRO,none,norm,r:pers,,,,,аплодировать,V,act,praet,t:sound,ca:noncaus,,,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,реципиент
37,37,42290_1,False,False,она,SPRO,none,norm,r:pers,,,,,аплодировать,V,act,praet,t:sound,ca:noncaus,,,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,реципиент
38,38,42291_3,False,False,он,SPRO,none,norm,r:pers,,,,,аплодировать,V,act,sg,t:sound,ca:noncaus,,,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,реципиент
39,39,42292_1,False,False,актер,S,m,norm,r:concr,t:prof,,,,аплодировать,V,act,norm,t:sound,ca:noncaus,,,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,реципиент
40,40,143212_4,False,False,автор,S,anim,pl,r:concr,t:hum,,,d:nag,аплодировать,V,ipf,indic,t:sound,ca:noncaus,,,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,реципиент
41,41,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,контрагент
42,42,41783_27,False,True,он,SPRO,none,norm,r:pers,,,,,помогать,V,act,sg,,,,d:pref,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,реципиент
43,43,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,реципиент
44,44,41793_2,False,False,он,SPRO,none,norm,r:pers,,,,,,ADV,none,none,,,,,платить,V,none,ipf,,t:poss,,,,реципиент
45,45,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,реципиент
46,46,41958_2,False,True,издательство,S,n,norm,r:concr,t:org,,,der:v,ассигновывать,V,act,praet,,,,d:impf,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,реципиент
47,47,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,направление
48,48,135367_5,False,False,она,SPRO,none,3p,r:pers,,,,,бежать,V,intr,act,t:move,ca:noncaus,,d:root,они,SPRO,none,3p,r:pers,,,,,направление
49,49,135372_3,False,True,она,SPRO,none,3p,r:pers,,,,,задавать,V,ipf,indic,,,,d:impf,вопрос,S,inan,sg,r:abstr,t:speech,,,,направление
50,50,135376_0,False,False,вы,SPRO,none,2p,r:pers,,,,,бежать,V,ipf,inf,t:move,ca:noncaus,,d:root,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,направление
51,51,135380_17,False,False,она,SPRO,none,3p,r:pers,,,,,наказать,V,pf,indic,,,,d:pref,бригадир,S,anim,sg,r:concr,t:hum,,,der:s,направление
52,52,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,направление
53,53,135382_0,False,False,я,SPRO,none,1p,r:pers,,,,,лучше,ADV,none,none,,,,der:a,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,направление
54,54,135384_0,False,False,счетчик,S,inan,sg,r:concr,t:hum,,,d:nag,бежать,V,ipf,indic,t:move,ca:noncaus,,d:root,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,направление
55,55,135397_13,False,False,вы,SPRO,none,2p,r:pers,,,,,бежать,V,ipf,indic,t:move,ca:noncaus,,d:root,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,направление
56,56,135428_3,False,False,я,SPRO,none,1p,r:pers,,,,,бежать,V,ipf,imper,t:move,ca:noncaus,,d:root,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,направление
57,57,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,направление
58,58,135440_4,False,False,я,SPRO,none,1p,r:pers,,,,,стать,V,pf,indic,t:move:body,,aux:phase,d:root,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,направление
59,59,135441_0,False,False,дверь,S,inan,pl,r:concr,t:tool,pt:part,top:vertical,,бежать,V,ipf,indic,t:move,ca:noncaus,,d:root,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,направление
60,60,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,направление
61,61,135407_1,False,False,перрон,S,inan,sg,r:concr,top:dam,pt:part,top:dam,,бежать,V,ipf,indic,t:move,ca:noncaus,,d:root,кто-то,SPRO,none,sg,r:indet,,,,,направление
62,62,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,направление
63,63,135427_14,False,True,улица,S,inan,pl,r:concr,t:space,pt:part,,,бежать,V,ipf,indic,t:move,ca:noncaus,,d:root,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,направление
64,64,135447_17,False,True,улица,S,inan,sg,r:concr,t:space,pt:part,,,бежать,V,ipf,indic,t:move,ca:noncaus,,d:root,Зайчуров,S,anim,sg,,,,,,направление
65,65,135409_5,False,True,который,APRO,none,pl,r:rel,t:ord,,,,бежать,V,ipf,indic,t:move,ca:noncaus,,d:root,пиво,S,inan,sg,r:concr,t:liq,,,der:v,направление
66,66,135416_0,False,False,щека,S,inan,sg,r:concr,top:jut,pt:partb,top:jut,,бежать,V,ipf,plen,t:move,ca:noncaus,,d:root,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,направление
67,67,41691_0,False,True,поезжанин,S,m,norm,r:concr,,,,,,ADJ,none,none,,,,,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,экспериенцер
68,68,36930_4,False,False,обладатель,S,anim,sg,r:concr,t:hum,,,d:nag,стоить,V,ipf,indic,,,,d:root,беспокоиться,V,none,med,,t:psych:emot,,,d:pref,экспериенцер
69,69,42988_4,False,False,мы,SPRO,none,norm,r:pers,,,,,,ADV,none,none,,,,,беспокоить,V,none,norm,,t:psych:emot,,,d:pref,экспериенцер
70,70,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,экспериенцер
71,71,36950_0,False,False,тот,APRO,none,pl,r:dem,,,,,беспокоиться,V,ipf,inf,t:psych:emot,ca:noncaus,,d:pref,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,экспериенцер
72,72,40701_7,False,False,данилов,S,m,norm,r:propn,t:topon,,,,успех,S,none,none,,,,,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,экспериенцер
73,73,36972_0,False,False,муниципалитет,S,inan,pl,r:concr,t:org,,,der:a,беспокоиться,V,ipf,inf,t:psych:emot,ca:noncaus,,d:pref,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,экспериенцер
74,74,135454_1,False,False,он,SPRO,none,norm,r:pers,,,,,улыбаться,V,act,sg,,ca:noncaus,,,я,SPRO,none,norm,r:pers,,,,,поднятый посессор
75,75,135526_1,False,True,он,SPRO,none,norm,r:pers,,,,,невидимый,A,none,none,,,,d:impot,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,поднятый посессор
76,76,135465_2,False,False,ворота,S,inan,norm,r:concr,top:vertical,pt:part,top:vertical,,бить,V,act,praet,t:impact,ca:caus,,d:root,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,направление
77,77,37143_1,False,True,бок,S,inan,pl,r:concr,t:space,pt:partb,,,болтаться,V,ipf,indic,t:move,ca:noncaus,,,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,направление
78,78,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,направление
79,79,37138_2,False,False,заграница,S,inan,pl,r:concr,t:space,pt:aggr,,der:s,болтаться,V,ipf,indic,t:move,ca:noncaus,,,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,направление
80,80,37147_3,False,True,улица,S,inan,pl,r:concr,t:space,pt:part,,,болтаться,V,ipf,indic,t:move,ca:noncaus,,,который,APRO,none,pl,r:rel,t:ord,,,,направление
81,81,37155_0,False,True,улица,S,inan,pl,r:concr,t:space,pt:part,,,болтаться,V,ipf,inf,t:move,ca:noncaus,,,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,направление
82,82,37159_6,False,False,красный,S,anim,pl,,,,,,болтаться,V,ipf,indic,t:move,ca:noncaus,,,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,направление
83,83,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,направление
84,84,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,направление
85,85,36405_12,False,True,турист,S,anim,pl,r:concr,t:hum,,,,нужный,A,none,none,,,,d:modal,машина,S,inan,sg,r:concr,t:fam,,,,реципиент
86,86,37339_2,False,False,Катерина,S,anim,sg,r:propn,t:persn,,,,бросаться,V,ipf,indic,t:move,ca:noncaus,,der:v,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,направление
87,87,37343_1,False,False,Стародум,S,anim,sg,r:concr,t:hum,,,der:comp,бросаться,V,ipf,praes,t:move,ca:noncaus,,der:v,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,направление
88,88,37347_2,False,False,он,SPRO,none,3p,r:pers,,,,,бросаться,V,ipf,indic,t:move,ca:noncaus,,der:v,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,направление
89,89,37363_0,False,False,мы,SPRO,none,1p,r:pers,,,,,бросаться,V,intr,indic,t:move,ca:noncaus,,der:v,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,направление
90,90,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,направление
91,91,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,направление
92,92,37395_7,False,False,бумага,S,inan,sg,r:concr,t:stuff,,,,бросаться,V,ipf,indic,t:move,ca:noncaus,,der:v,Дима,S,anim,sg,r:propn,t:persn,,,der:s,направление
93,93,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,направление
94,94,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,направление
95,95,40662_4,False,False,вы,SPRO,none,norm,r:pers,,,,,,VERB,none,none,,,,,вход,S,m,norm,r:abstr,t:move,,,der:s0,направление
96,96,40665_1,False,False,движение,S,n,norm,r:abstr,t:move,,,der:s0,бросаться,V,act,sg,t:move,ca:noncaus,,der:v,он,SPRO,none,norm,r:pers,,,,,направление
97,97,40668_0,False,True,коля,S,norm,persn,r:propn,t:persn,,,,навстречу,ADV,none,none,t:dir,,,der:s,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,направление
98,98,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,направление
99,99,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,направление
100,100,40685_0,False,False,телефон,S,m,norm,r:concr,t:tool:device,,,,бросаться,V,act,sg,t:move,ca:noncaus,,der:v,он,SPRO,none,norm,r:pers,,,,,направление
101,101,40690_3,False,False,она,SPRO,none,norm,r:pers,,,,,бросаться,V,act,sg,t:move,ca:noncaus,,der:v,вася,S,norm,persn,r:propn,t:persn,,,d:dimb,направление
102,102,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,направление
103,103,37341_0,False,False,я,SPRO,none,1p,r:pers,,,,,бросаться,V,ipf,indic,t:move,ca:noncaus,,der:v,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,поднятый посессор
104,104,40687_2,False,True,я,SPRO,none,norm,r:pers,,,,,хотеться,V,act,sg,t:psych:volit,ca:noncaus,,,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,поднятый посессор
105,105,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,поднятый посессор
106,106,30956_1,False,False,мальчик,S,anim,pl,,,,,,велеть,V,pf,imper,,,,,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,реципиент
107,107,30959_3,False,False,я,S-PRO,none,1p,,,,,,велеть,V,pf,indic,,,,,он,S-PRO,none,3p,,,,,,реципиент
108,108,30960_1,False,False,они,S-PRO,none,3p,,,,,,велеть,V,pf,indic,,,,,ежик,S,anim,sg,,,,,,реципиент
109,109,30963_1,False,False,он,S-PRO,none,3p,,,,,,велеть,V,pf,indic,,,,,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,реципиент
110,110,30965_1,False,True,кассирша,S,anim,sg,,,,,,велеть,V,pf,indic,,,,,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,реципиент
111,111,30966_1,False,True,вы,S-PRO,none,2p,,,,,,велеть,V,ipf,indic,,,,,кто,S-PRO,none,sg,,,,,,реципиент
112,112,30969_1,False,True,он,S-PRO,none,3p,,,,,,велеть,V,pf,indic,,,,,Рубахин,S,anim,sg,,,,,,реципиент
113,113,30970_1,False,False,мальчик,S,anim,sg,,,,,,велеть,V,pf,indic,,,,,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,реципиент
114,114,30972_2,False,False,он,S-PRO,none,3p,,,,,,велеть,V,ipf,indic,,,,,вы,S-PRO,none,2p,,,,,,реципиент
115,115,30977_1,False,False,я,S-PRO,none,1p,,,,,,велеть,V,ipf,indic,,,,,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,реципиент
116,116,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,реципиент
117,117,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,реципиент
118,118,30985_0,False,False,больной,S,anim,sg,,,,,,велеть,V,ipf,indic,,,,,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,реципиент
119,119,30988_1,False,True,я,S-PRO,none,1p,,,,,,велеть,V,pf=partcp,n,,,,,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,реципиент
120,120,30991_2,False,True,командор,S,anim,sg,,,,,,учаливаться,V,ipf,med=inf,,,,,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,реципиент
121,121,30993_2,False,False,чиновник,S,anim,sg,,,,,,велеть,V,pf,indic,,,,,он,S-PRO,none,3p,,,,,,реципиент
122,122,30994_1,False,False,вы,S-PRO,none,2p,,,,,,велеть,V,pf,indic,,,,,хозяин,S,anim,sg,,,,,,реципиент
123,123,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,реципиент
124,124,30996_2,False,False,мы,S-PRO,none,1p,,,,,,велеть,V,ipf,indic,,,,,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,реципиент
125,125,30999_1,False,False,он,S-PRO,none,3p,,,,,,показать,V,pf,act,,,,,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,реципиент
126,126,31011_3,False,True,кучер,S,anim,sg,,,,,,велеть,V,pf,indic,,,,,я,S-PRO,none,1p,,,,,,реципиент
127,127,31014_1,False,True,я,S-PRO,none,1p,,,,,,велеть,V,pf,indic,,,,,Николай,S,anim,sg,,,,,,реципиент
128,128,31016_4,False,False,мы,S-PRO,none,1p,,,,,,велеть,V,pf,indic,,,,,преподавательница,S,anim,sg,,,,,,реципиент
129,129,31020_1,False,True,кой,A-PRO,none,sg,,,,,,велеть,V,pf,praet,,,,,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,реципиент
130,130,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,реципиент
131,131,31029_1,False,False,Вячеслав,S,anim,sg,,,,,,велеть,V,ipf,indic,,,,,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,реципиент
132,132,31032_2,False,True,Хрипушин,S,anim,sg,,,,,,сволочь,S,none,none,,,,,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,реципиент
133,133,31034_1,False,False,я,S-PRO,none,1p,,,,,,велеть,V,pf,indic,,,,,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,реципиент
134,134,31036_3,False,False,я,S-PRO,none,1p,,,,,,велеть,V,pf,indic,,,,,вы,S-PRO,none,2p,,,,,,реципиент
135,135,31041_1,False,False,он,S-PRO,none,3p,,,,,,велеть,V,pf,imper,,,,,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,реципиент
136,136,31043_3,False,True,вы,S-PRO,none,2p,,,,,,велеть,V,ipf,indic,,,,,что,ADV-PRO,none,none,,,,,,реципиент
137,137,31044_1,False,False,я,S-PRO,none,1p,,,,,,велеть,V,pf,indic,,,,,,PUNCT,none,none,none,none,none,none,none,реципиент
138,138,31004_1,False,False,я,S-PRO,none,1p,,,,,,велеть,V,ipf,indic,,,,,чувство,S,inan,sg,,,,,,реципиент
139,139,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,реципиент
140,140,53674_3,False,True,который,APRO,none,pl,r:rel,t:ord,,,,верить,V,ipf,indic,t:ment,ca:noncaus,,der:s,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,реципиент
141,141,66310_1,False,False,он,SPRO,none,3p,r:pers,,,,,поверить,V,pf,indic,t:ment,ca:noncaus,,d:pref,кто-то,SPRO,none,sg,r:indet,,,,,реципиент
142,142,66315_1,False,False,я,SPRO,none,1p,r:pers,,,,,поверить,V,intr,indic,t:ment,ca:noncaus,,d:pref,ты,SPRO,none,2p,r:pers,,,,,реципиент
143,143,53608_1,False,False,плакат,S,inan,pl,r:concr,t:workart,,,,верить,V,intr,act,t:ment,ca:noncaus,,der:s,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,реципиент
144,144,53614_3,False,True,песня,S,inan,pl,r:concr,t:text,,,,верить,V,ipf,indic,t:ment,ca:noncaus,,der:s,я,SPRO,none,1p,r:pers,,,,,реципиент
145,145,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,реципиент
146,146,66305_6,False,True,слово,S,inan,pl,r:abstr,t:word,,,,поверить,V,pf,indic,t:ment,ca:noncaus,,d:pref,они,SPRO,none,3p,r:pers,,,,,реципиент
147,147,66307_1,False,True,ориентир,S,inan,pl,r:concr,,,,der:v,поверить,V,pf,inf,t:ment,ca:noncaus,,d:pref,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,контрагент
148,148,66312_0,False,False,шарлатанство,S,inan,sg,r:abstr,,,,,поверить,V,intr,act,t:ment,ca:noncaus,,d:pref,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,контрагент
149,149,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,направление
150,150,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,направление
151,151,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,направление
152,152,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,направление
153,153,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,направление
154,154,143211_3,False,True,участник,S,anim,pl,r:concr,t:hum,,,d:nag,помогать,V,ipf,indic,,,,d:pref,музыкант,S,anim,pl,r:concr,t:prof,,,der:s,бенефициант
155,155,37850_1,False,True,бок,S,inan,pl,r:concr,t:space,pt:partb,,,виднеться,V,ipf,indic,,ca:noncaus,,,окно,S,inan,pl,r:concr,top:hole,pt:part,top:hole,,направление
156,156,31976_0,False,False,стена,S,inan,pl,r:concr,,pt:part,,,висеть,V,ipf,indic,t:loc,ca:noncaus,,d:root,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,направление
157,157,37997_1,False,True,он,SPRO,none,3p,r:pers,,,,,влечь,V,ipf,indic,t:move,ca:caus,,d:pref,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,направление
158,158,37999_0,False,True,каждый,APRO,none,sg,r:spec,,,,,влечь,V,ipf,indic,t:move,ca:caus,,d:pref,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,направление
159,159,38023_1,False,True,подонок,S,anim,pl,r:concr,t:hum,,,,влечь,V,tran,indic,t:move,ca:caus,,d:pref,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,направление
160,160,38297_1,False,True,народ,S,inan,sg,r:concr,,pt:set,,,внушать,V,tran,indic,,,,d:pref,человек,S,anim,sg,r:concr,t:hum,,,,реципиент
